Pays,Titre,Type,Description,Niveau,Financement,Date Limite,Conditions,Nombre de bourses,Domaine Conserné,Durée d'étude,Pays éligibles
Burkina Faso,BOURSES NATIONALES POUR DES ETUDES DE CYCLE LICENCE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (TOUTES LES SERIES DU BAC),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), a l’honneur de porter à la connaissance des lauréats du baccalauréat de la session de 2024, que l’État burkinabé offre, au titre de l’année académique 2024-2025, des bourses nationales pour des études de cycle licence au Burkina Faso.",BOURSES NATIONALES POUR DES ETUDES DE CYCLE LICENCE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (TOUTES LES SERIES DU BAC),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_28b0f2206ca578b5ad373c988d953647.pdf,06/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_28b0f2206ca578b5ad373c988d953647.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_28b0f2206ca578b5ad373c988d953647.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/199']",Non spécifié,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_28b0f2206ca578b5ad373c988d953647.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_28b0f2206ca578b5ad373c988d953647.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_28b0f2206ca578b5ad373c988d953647.pdf
Burkina Faso,BOURSES NATIONALES POUR DES ETUDES DE CYCLE LICENCE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (PUPILLES DE LA NATION),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), a l’honneur de porter à la connaissance des lauréats du baccalauréat de la session de 2024 ayant le statut de pupilles de la nation, que l’État burkinabé offre, au titre de l’année académique 2024-2025 des bourses nationales pour des études de cycle licence au Burkina Faso.",BOURSES NATIONALES POUR DES ETUDES DE CYCLE LICENCE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (PUPILLES DE LA NATION),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf,06/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/200']",5,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_0181faaf02d7c28fb2f20b15b9d5a7fe.pdf
Burkina Faso,BOURSES NATIONALES DESTINEES AUX LAUREATS DE LA JOURNEE DE L’EXCELLENCE 2024 DU PRESIDENT DU FASO,Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), a l’honneur d’inviter les bacheliers de la session de 2024, lauréats de la journée de l’Excellence 2024 du Président du Faso, à s’inscrire sur la plateforme CampusFaso pour la bourse nationale pour des études de cycle licence au Burkina Faso.",BOURSES NATIONALES DESTINEES AUX LAUREATS DE LA JOURNEE DE L’EXCELLENCE 2024 DU PRESIDENT DU FASO,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_098c5393583fce1c0949efb26c012aab.pdf,06/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_098c5393583fce1c0949efb26c012aab.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_098c5393583fce1c0949efb26c012aab.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/201']",Non spécifié,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_098c5393583fce1c0949efb26c012aab.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_098c5393583fce1c0949efb26c012aab.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_098c5393583fce1c0949efb26c012aab.pdf
Burkina Faso,BOURSES DESTINEES AUX ETUDIANTS ADMIS AU TEST D’ENTREE A L’ÉCOLE POLYTECHNIQUE DE OUAGADOUGOU (EPO) POUR LES ETUDES D’INGENIEUR (BAC+2),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), a l’honneur de porter à la connaissance des étudiants admis au test d’entrée à l’École Polytechnique de Ouagadougou (EPO) pour les études d’ingénieur au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leur dossier de demande de bourse nationale sur la plateforme CampusFaso",BOURSES DESTINEES AUX ETUDIANTS ADMIS AU TEST D’ENTREE A L’ÉCOLE POLYTECHNIQUE DE OUAGADOUGOU (EPO) POUR LES ETUDES D’INGENIEUR (BAC+2),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_55f22764c88cdb432e314bc675c80705.pdf,30/09/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_55f22764c88cdb432e314bc675c80705.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_55f22764c88cdb432e314bc675c80705.pdf']",50,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_55f22764c88cdb432e314bc675c80705.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_55f22764c88cdb432e314bc675c80705.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_55f22764c88cdb432e314bc675c80705.pdf
Burkina Faso,BOURSES DESTINEES AUX ETUDIANTS ADMIS AU TEST D’ENTREE A L’ÉCOLE POLYTECHNIQUE DE OUAGADOUGOU (EPO) POUR LES ETUDES D’INGENIEUR (BAC+3),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI), a l’honneur de porter à la connaissance des étudiants admis au test d’entrée à l’École Polytechnique de Ouagadougou (EPO) pour les études d’ingénieur au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leur dossier de demande de bourse nationale sur la plateforme CampusFaso",BOURSES DESTINEES AUX ETUDIANTS ADMIS AU TEST D’ENTREE A L’ÉCOLE POLYTECHNIQUE DE OUAGADOUGOU (EPO) POUR LES ETUDES D’INGENIEUR (BAC+3),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_feacf9599cf1d7507b11478b93a8d839.pdf,30/09/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_feacf9599cf1d7507b11478b93a8d839.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_feacf9599cf1d7507b11478b93a8d839.pdf']",50,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_feacf9599cf1d7507b11478b93a8d839.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_feacf9599cf1d7507b11478b93a8d839.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_feacf9599cf1d7507b11478b93a8d839.pdf
Burkina Faso,BOURSE NATIONALE POUR DES ETUDES DE MASTER DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025,Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI) a l’honneur de porter à la connaissance des étudiants désirant entreprendre des études de master, d’ingénieur et de doctorat dans les universités publiques de la zone Afrique au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leurs dossiers de demande de bourse nationale sur la plateforme CampusFaso",BOURSE NATIONALE POUR DES ETUDES DE MASTER DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_a09c62d55112e79e1d0bba5f5cd0c49f.pdf,01/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_a09c62d55112e79e1d0bba5f5cd0c49f.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_a09c62d55112e79e1d0bba5f5cd0c49f.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/210']",30,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_a09c62d55112e79e1d0bba5f5cd0c49f.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_a09c62d55112e79e1d0bba5f5cd0c49f.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_a09c62d55112e79e1d0bba5f5cd0c49f.pdf
Burkina Faso,BOURSE NATIONALE POUR DES ETUDES DE DOCTORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025,Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI) a l’honneur de porter à la connaissance des étudiants désirant entreprendre des études de master, d’ingénieur et de doctorat dans les universités publiques de la zone Afrique au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leurs dossiers de demande de bourse nationale sur la plateforme CampusFaso",BOURSE NATIONALE POUR DES ETUDES DE DOCTORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_cd5776cf830ff0e1683abd261711cd88.pdf,01/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_cd5776cf830ff0e1683abd261711cd88.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_cd5776cf830ff0e1683abd261711cd88.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/211']",30,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_cd5776cf830ff0e1683abd261711cd88.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_cd5776cf830ff0e1683abd261711cd88.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_cd5776cf830ff0e1683abd261711cd88.pdf
Burkina Faso,BOURSE NATIONALE POUR DES ETUDES D'INGENIORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (BAC+2),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI) a l’honneur de porter à la connaissance des étudiants désirant entreprendre des études de master, d’ingénieur et de doctorat dans les universités publiques de la zone Afrique au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leurs dossiers de demande de bourse nationale sur la plateforme CampusFaso www.campusfaso.bf.",BOURSE NATIONALE POUR DES ETUDES D'INGENIORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (BAC+2),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_d7f95af01ec2a4fec625c44f99f3a919.pdf,01/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_d7f95af01ec2a4fec625c44f99f3a919.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_d7f95af01ec2a4fec625c44f99f3a919.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/212']",30,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_d7f95af01ec2a4fec625c44f99f3a919.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_d7f95af01ec2a4fec625c44f99f3a919.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_d7f95af01ec2a4fec625c44f99f3a919.pdf
Burkina Faso,BOURSE NATIONALE POUR DES ETUDES D'INGENIORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (BAC+3),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation (MESRI) a l’honneur de porter à la connaissance des étudiants désirant entreprendre des études de master, d’ingénieur et de doctorat dans les universités publiques de la zone Afrique au titre de l’année académique 2024-2025, qu’ils peuvent soumettre leurs dossiers de demande de bourse nationale sur la plateforme CampusFaso www.campusfaso.bf.",BOURSE NATIONALE POUR DES ETUDES D'INGENIORAT DANS LES UNIVERSITES PUBLIQUES DE LA ZONE AFRIQUE AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (BAC+3),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_9b0bad3a1994c9ce7bbdd8d904daf465.pdf,01/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_9b0bad3a1994c9ce7bbdd8d904daf465.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_9b0bad3a1994c9ce7bbdd8d904daf465.pdf', 'https://www.campusfaso.bf/formations/candidater-bourses/idBourse/213']",30,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_9b0bad3a1994c9ce7bbdd8d904daf465.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_9b0bad3a1994c9ce7bbdd8d904daf465.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_9b0bad3a1994c9ce7bbdd8d904daf465.pdf
Sénégal,BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU MASTER),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l'Innovation porte à la connaissance des étudiants admis à l'École Supérieure Multinationale des Télécommunications du Sénégal (ESMT/Dakar), pour des études de cycle master ou ingéniorat au titre de l’année académique 2024-2025, qu'ils peuvent soumettre leur dossier de demande de bourse nationale sur la plateforme CampusFaso",BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU MASTER),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_3f6b80372807946c912f5e77126e85de.pdf,05/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_3f6b80372807946c912f5e77126e85de.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_3f6b80372807946c912f5e77126e85de.pdf']",8,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_3f6b80372807946c912f5e77126e85de.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_3f6b80372807946c912f5e77126e85de.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_3f6b80372807946c912f5e77126e85de.pdf
Sénégal,BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU INGENIORAT BAC+3),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l'Innovation porte à la connaissance des étudiants admis à l'École Supérieure Multinationale des Télécommunications du Sénégal (ESMT/Dakar), pour des études de cycle master ou ingéniorat au titre de l’année académique 2024-2025, qu'ils peuvent soumettre leur dossier de demande de bourse nationale sur la plateforme CampusFaso",BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU INGENIORAT BAC+3),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_592aa22e4f0103ba1e43aaab4cb16f90.pdf,05/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_592aa22e4f0103ba1e43aaab4cb16f90.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_592aa22e4f0103ba1e43aaab4cb16f90.pdf']",8,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_592aa22e4f0103ba1e43aaab4cb16f90.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_592aa22e4f0103ba1e43aaab4cb16f90.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_592aa22e4f0103ba1e43aaab4cb16f90.pdf
Sénégal,BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU INGENIORAT BAC+2),Bourse,"Le Ministre de l’Enseignement Supérieur, de la Recherche et de l'Innovation porte à la connaissance des étudiants admis à l'École Supérieure Multinationale des Télécommunications du Sénégal (ESMT/Dakar), pour des études de cycle master ou ingéniorat au titre de l’année académique 2024-2025, qu'ils peuvent soumettre leur dossier de demande de bourse nationale sur la plateforme CampusFaso",BOURSES DESTINEES AUX ETUDIANTS ADMIS A ESMT/DAKAR AU TITRE DE L’ANNEE ACADEMIQUE 2024-2025 (NIVEAU INGENIORAT BAC+2),https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_63bf33f4c2aa3c891351c827ac97159a.pdf,05/10/2024,"['https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_63bf33f4c2aa3c891351c827ac97159a.pdf', 'https://www.campusfaso.bf/dossiers_candidature/documentsbourse/fiche_63bf33f4c2aa3c891351c827ac97159a.pdf']",8,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_63bf33f4c2aa3c891351c827ac97159a.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_63bf33f4c2aa3c891351c827ac97159a.pdf,https://www.campusfaso.bf/dossiers_candidature/documentsbourse/communique_63bf33f4c2aa3c891351c827ac97159a.pdf
